city,city_ascii,state_id,state_name,county_fips,county_name,lat,lng,population,density,source,military,incorporated,timezone,ranking,zips,id
Cattaraugus,Cattaraugus,NY,New York,36009,Cattaraugus,42.33,-78.8671,1153,398.4,shape,FALSE,TRUE,America/New_York,3,14719,1840004598
Maud,Maud,TX,Texas,48037,Bowie,33.3299,-94.3461,1152,298.4,shape,FALSE,TRUE,America/Chicago,3,75567,1840020611
Peabody,Peabody,KS,Kansas,20115,Marion,38.1683,-97.1043,1152,351.3,shape,FALSE,TRUE,America/Chicago,3,66866,1840009662
Elmer,Elmer,NJ,New Jersey,34033,Salem,39.5919,-75.174,1152,500.1,shape,FALSE,TRUE,America/New_York,3,08318,1840003791
Orient,Orient,NY,New York,36103,Suffolk,41.1425,-72.2771,1152,86.8,shape,FALSE,FALSE,America/New_York,3,11957,1840005064
Newark,Newark,IL,Illinois,17093,Kendall,41.5368,-88.5803,1152,395.6,shape,FALSE,TRUE,America/Chicago,3,60541,1840011507
Coker,Coker,AL,Alabama,01125,Tuscaloosa,33.2446,-87.68,1152,228.1,shape,FALSE,TRUE,America/Chicago,3,35452,1840016841
Greenleaf,Greenleaf,ID,Idaho,16027,Canyon,43.6753,-116.821,1152,577.5,shape,FALSE,TRUE,America/Boise,3,83626,1840020038
Point Marion,Point Marion,PA,Pennsylvania,42051,Fayette,39.7354,-79.9008,1151,1097.2,shape,FALSE,TRUE,America/New_York,3,15474,1840000668
North Bonneville,North Bonneville,WA,Washington,53059,Skamania,45.6425,-121.9688,1151,176,shape,FALSE,TRUE,America/Los_Angeles,3,98648 98639,1840019903
Laton,Laton,CA,California,06019,Fresno,36.4314,-119.6976,1151,175.8,shape,FALSE,FALSE,America/Los_Angeles,3,93242,1840017637
Whitehall,Whitehall,MT,Montana,30043,Jefferson,45.8709,-112.0976,1151,630.4,shape,FALSE,TRUE,America/Denver,3,59759,1840022326
Millington,Millington,MI,Michigan,26157,Tuscola,43.2784,-83.5273,1151,326.2,shape,FALSE,TRUE,America/Detroit,3,48746,1840010974
Shafer,Shafer,MN,Minnesota,27025,Chisago,45.3901,-92.7531,1151,350,shape,FALSE,TRUE,America/Chicago,3,55074,1840008893
Entiat,Entiat,WA,Washington,53007,Chelan,47.678,-120.2175,1151,204,shape,FALSE,TRUE,America/Los_Angeles,3,98822,1840019777
Lakeside City,Lakeside City,TX,Texas,48009,Archer,33.8292,-98.5403,1150,699.5,shape,FALSE,TRUE,America/Chicago,3,76308,1840021978
Quinnesec,Quinnesec,MI,Michigan,26043,Dickinson,45.803,-87.9958,1150,294.6,shape,FALSE,FALSE,America/Menominee,3,49876,1840004008
Melrose,Melrose,OR,Oregon,41019,Douglas,43.2529,-123.4574,1150,102.1,shape,FALSE,FALSE,America/Los_Angeles,3,97471,1840025420
Lawrenceville,Lawrenceville,VA,Virginia,51025,Brunswick,36.7565,-77.8539,1149,385.3,shape,FALSE,TRUE,America/New_York,3,23868,1840006510
Athens,Athens,MI,Michigan,26025,Calhoun,42.0866,-85.2356,1149,442.6,shape,FALSE,TRUE,America/Detroit,3,49011,1840011200
